browser,test,time
chrome,static pure element,1753
chrome,dynamic pure element,4009
chrome,injected css element,4250
chrome,injected jquery element,3369
chrome,static pure elements,123297
chrome,dynamic pure elements,125775
chrome,injected css elements,251010
chrome,injected jquery elements,181892
firefox,static pure element,1114
firefox,dynamic pure element,2853
firefox,injected css element,3163
firefox,injected jquery element,3627
firefox,static pure elements,53306
firefox,dynamic pure elements,56238
firefox,injected css elements,145555
firefox,injected jquery elements,155773
htmlunit,static pure element,20
htmlunit,dynamic pure element,201
htmlunit,injected css element,224
htmlunit,injected jquery element,1313
htmlunit,static pure elements,358
htmlunit,dynamic pure elements,524
htmlunit,injected css elements,1903
htmlunit,injected jquery elements,6080
phantomjs,static pure element,2302
phantomjs,dynamic pure element,4207
phantomjs,injected css element,3863
phantomjs,injected jquery element,3846
phantomjs,static pure elements,88875
phantomjs,dynamic pure elements,91192
phantomjs,injected css elements,194017
phantomjs,injected jquery elements,143814
